,name,title,title2,title3,education
0,Rachid Aadnani,Senior Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Ama Baafra AbebereseA,Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
3,Marjorie Agosin A2,Professor of Spanish,,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
4,Eliko Akahori,Senior Music Performance Faculty in Piano,"Director, Music Performance Program",,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
5,Robin M. Akert,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
6,Fred Aldrich,Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
7,Emily Altier,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Niagara University"
8,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
9,Margaret Angelini,"Director, Guild of Carillonneurs",,,"B.A., Wellesley College; M.M., New England Conservatory"
10,Andrew Arceci,"Director, Collegium Musicum",,,"B.M., John Hopkins University; M.M., The Juilliard School; M.S.T., University of Oxford"
11,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
12,Justin Armstrong,Lecturer in Writing and Anthropology,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
13,Antonio J. Arraiza Rivera,Assistant Professor of Spanish,,,"B.S., University of Puerto Rico-Rio Piedras; Ph.D., Harvard University "
14,Chris R. Arumainayagam,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
15,Angela Bahns,Associate Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
16,Amy Banzaert,Lecturer in Engineering,Director of Engineering Studies,,"B.S., M.S., Ph.D., Massachusetts Institute of Technology"
17,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
18,Maria del Mar Bassa Vanrell,Visiting Lecturer in Spanish,,,"B.A., University of the Balearic Islands, Spain; M.A., Ph.D., University of Texas at Austin"
19,Christine Bassem A2,Assistant Professor of Computer Science,,,"B.S., Ain Shams University; M.S., German University in Cairo; Ph.D., Boston University"
20,Erin Royston Battat,Visiting Lecturer in the Writing Program,,,"B.A., Georgetown University; A.M., Ph.D., Harvard University"
21,James Battat,Associate Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
22,Deborah E. Bauer,Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
23,Rebecca Bedell,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
24,Melissa A. Beers,Senior Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
25,Bridget Belgiovine,PERA Professor of the Practice,Director of Athletics,,"B.S., Trenton State College; M.Ed., Springfield College"
26,Rebecca Belisle,Assistant Professor of Physics,,,"B.A., Franklin W. Olin College; M.P., University of Bath; Ph.D., Stanford University"
27,Barbara S. Beltz,Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
28,Robert S. Berg,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
29,Patricia Gray Berman,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
30,Ashley Bernstein,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Southern New Hampshire University"
31,Gurminder Kaur Bhogal,Catherine Mills Davis Associate Professor of Music,,,"B.Mus (Hons), Royal College of Music; M.Mus., King’s College, University of London; Ph.D., University of Chicago"
32,Frank L. Bidart,Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
33,Héléne Bilis,Associate Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
34,Steven Biller,Assistant Professor of Biological Sciences,,,"B.A., Williams College; Ph.D., Stanford University"
35,Laura Bossert-King,Senior Music Performance Faculty in Viola and Violin,,,"B.M.,  M.M., Eastman School of Music"
36,Ilene Boucher,Visiting Lecturer in Chemistry,,,"B.A., Smith College; Ph.D., Boston University School of Medicine"
37,Kathleen Boyd,Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
