,name,title,title2,title3,education
0,Rachid Aadnani,Lecturer in Middle Eastern Studies,,,"B.A., Universite Moulay Ismail (Morocco); M.A., Dartmouth College; Ph.D., Binghamton University"
1,Ama Baafra AbebereseA1,Assistant Professor of Economics,,,"B.A., Wellesley College; M.A., M.Phil., Ph.D., Columbia University"
2,Kris Adams,Senior Music Performance Faculty in Vocal Jazz,,,"B.M., Berklee College of Music; M.M., New England Conservatory of Music"
3,Marjorie Agosin,Luella LaMer Slaner Professor in Latin American Studies,Professor of Spanish,,"B.A., University of Georgia; M.A., Ph.D., Indiana University"
4,Eliko Akahori,Music Performance Faculty in Piano,Coach/Accompanist,,"B.M., Kunitachi College of Music (Japan); M.M., D.M.A., New England Conservatory of Music"
5,Robin M. Akert,Professor of Psychology,,,"B.A., University of California (Santa Cruz); M.A., Ph.D., Princeton University"
6,Fred Aldrich,Music Performance Faculty in French Horn,,,"B.M., New England Conservatory of Music"
7,Sarah M. Allen,Assistant Professor of Chinese,,,"A.B., Harvard College; M.A., University of Michigan; Ph.D., Harvard University"
8,Scott D. Anderson,Lecturer in Computer Science,,,"B.S., Yale University; M.S., Ph.D., University of Massachusetts (Amherst)"
9,Margaret Angelini,Carillon Director,,,"B.A., Wellesley College; M.M., New England Conservatory"
10,Jason Anick,Music Instructor in Jazz Violin,,,"B.S., University of Hartford"
11,Diego Arciniegas,Senior Lecturer in Theatre Studies,,,"B.A., Williams College"
12,Justin Armstrong,Lecturer in the Writing Program,,,"B.A., Wilfred Laurier University (Waterloo, ON); M.A., Ph.D., McMaster University (Hamilton, ON)"
13,Chris R. Arumainayagam,Professor of Chemistry,,,"A.B., Harvard University; Ph.D., Stanford University"
14,Angela BahnsA1,Assistant Professor of Psychology,,,"B.A., Pomona College; M.A., Ph.D., University of Kansas"
15,Lamia Balafrej,Assistant Professor of Art,,,"M.A., University of Paris; Ph.D., Universite de Provence; "
16,Amy BanzaertA1,Lecturer in Engineering,,,"B.S., M.S., Ph.D,  Massachusetts Institute of Technology"
17,Daniela Bartalesi-Graf,Lecturer in Italian Studies,,,"B.A., Harvard University Extension School; M.A., Tufts University"
18,James Battat,Assistant Professor of Physics,,,"Sc.B., Brown University; A.M., Ph.D., Harvard University"
19,Deborah E. Bauer,Visiting Lecturer in Neuroscience,,,"B.A., Wellesley College; Ph.D., University of Michigan"
20,Wendy Hagen BauerA2,Professor of Astronomy,,,"B.A., Mount Holyoke College; M.S., Ph.D., University of Hawaii"
21,Connie Lynn Bauman,PERA Professor of the Practice,,,"B.S., Illinois State University; M.S., Arizona State; University Certificate, Indiana State University"
22,Barbara R. Beatty,Professor of Education,,,"A.B., Radcliffe College; Ed.M., Ed.D., Harvard University"
23,Rebecca Bedell,Associate Professor of Art,,,"B.A., Wellesley College; M.A., Ph.D., Yale University"
24,Melissa A. Beers,Instructor in Biological Sciences Laboratory,,,"B.S., University of New Hampshire; Ph.D., Cornell University"
25,Bridget Belgiovine,PERA Professor of the Practice,Director of Athletics,,"B.S., Trenton State College; M.Ed., Springfield College"
26,Barbara S. Beltz,Allene Lummis Russell Professor of Neuroscience,,,"B.A., Mount Holyoke College; M.S., Ph.D., Princeton University"
27,Michal Ben-Josef Hirsch,Visiting Lecturer in Political Science,,,"B.A., Tel-Aviv University; Ph.D., Massachusetts Institute of Technology"
28,Robert S. BergA,Professor of Physics,,,"A.B., Princeton University; M.A., Ph.D., University of California (Berkeley)"
29,Alexander Berger,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., Framingham State University; M.A., Canisius College"
30,Patricia Gray Berman,Theodora L. and Stanley H. Feldberg Professor of Art,,,"B.A., Hampshire College; M.A., Ph.D., New York University"
31,Ashley  Bernstein,"Instructor in Physical Education, Recreation and Athletics",,,"B.S., Southern New Hampshire University"
32,Wendy Berry,PERA Assistant Professor of the Practice,,,"B.S., Brighton University"
33,James R. Besancon,Associate Professor of Geosciences,,,"B.S., Yale University; Ph.D., Massachusetts Institute of Technology"
34,Gurminder Kaur BhogalA1,Associate Professor of Music,,,"B.Mus., Royal College; M.Mus., King's College; Ph.D., University of Chicago"
35,Frank L. Bidart,Andrew W. Mellon Professor in the Humanities,Professor of English,,"B.A., University of California (Riverside); A.M., Harvard University"
36,Héléne Bilis,Assistant Professor of French,,,"B.A., Rutgers University; M.A., Ph.D., University of California (Berkeley)"
37,Matthew Blanton,Visiting Lecturer in History,,,"B.A., Dartmouth College; M.A., University of Wisconsin (Madison); Ph.D., University of Michigan"
38,Laura Bossert-King,Senior Music Performance Faculty in Viola and Violin,,,"B.M.,  M.M., Eastman School of Music"
39,Kathleen Boyd,Senior Music Performance Faculty in Flute,,,"B.M., M.M., New England Conservatory of Music"
40,Daniel J. Brabander,Professor of Geosciences,,,"B.S., M.A., Binghamton University; Ph.D., Brown University"
41,Sheila P. Brachfeld-Child,Senior Lecturer in Psychology,"Director, Medical Professions Advising",,"B.A., Tufts University; M.A., Boston University; Ph.D., Brandeis University"
42,Kaća Bradonjić,Visiting Lecturer in Physics,,,"B.S., Northeastern University; M.A., Ph.D., Boston University"
43,Martin Alan Brody,Catherine Mills Davis Professor of Music,,,"B.A., Amherst College; M.M., D.M.A., Yale University School of Music"
44,Kathleen Brogan,Associate Professor of English,,,"B.A., Queens College; M.A., M.Phil., Ph.D., Yale University"
45,Anne Brubaker,Lecturer in the Writing Program,,,"B.A., Dickinson College; M.A., University of Sussex (Brighton, England); Ph.D., University of Illinois (Urbana)"
46,Heather Corbally Bryant,Visiting Lecturer in the Writing Program,,,"A.B., Harvard College; M.A., Ph.D., University of Michigan"
47,Charles Bu,Professor of Mathematics,,,"B.S., M.S., Shanghai Jiao Tong University; M.S., Michigan State University Ph.D., University of Illinois"
48,Emily A. BuchholtzA2,Gordon P. Lang and Althea P. Lang '26 Professor of Biological Sciences,,,"B.A., College of Wooster; M.A., University of Wisconsin Ph.D., George Washington University"
49,Susan Buck,Instructor in Computer Science Laboratory,,,"B.A., University of North Carolina (Asheville); M.P.S., New York University (Tisch School of the Arts)"
50,Tom BurkeA,Professor of Political Science,,,"B.A., University of Minnesota (Minneapolis); M.A., Ph.D., University of California (Berkeley)"
51,Bryan E. Burns,Associate Professor of Classical Studies,,,"B.A., University of North Carolina; M.A., Ph.D., University of Michigan"
52,Kristin Butcher,Marshall I. Goldman Professor of Economics,,,"B.A., Wellesley College; M.S., London School of Economics; M.A., Ph.D., Princeton University"
53,William E. CainA1,Mary Jewett Gaiser Professor of English,,,"B.A., Tufts University; M.A., Ph.D., Johns Hopkins University"
54,John S. Cameron,Professor of Biological Sciences,,,"B.S., College of William and Mary; M.S., Ph.D., University of Massachusetts (Amherst)"
55,Samantha Cameron,"Instructor in Physical Education, Recreation and Athletics",,,"B.A., San Jose State University; M.A., University of California (Los Angeles)"
56,Christopher Candland,Associate Professor of Political Science,,,"B.A., Haverford College; M.A., M.Phil., Ph.D., Columbia University"
57,George M. Caplan,Senior Instructor in Physics Laboratory,,,"B.A., Swarthmore College; S.M., Harvard University"
58,Linda Carli,Senior Lecturer in Psychology,,,"B.A., University of Connecticut; Ph.D., University of Massachusetts (Amherst)"
59,Angela C. Carpenter,Wellesley Faculty Assistant Professor of Cognitive and Linguistic Sciences,,,"B.A., Wellesley College; M.A., Ph.D., University of Massachusetts (Amherst)"
